,option,path,requests
321,get, http://3.69.174.211:80/MyAdmin/scripts/setup.php,4
322,get, http://3.69.174.211:80/sqladmin/scripts/setup.php,4
323,get,/pma2018/index.php,4
324,get,/sito/wp-includes/wlwmanifest.xml,4
325,get,//MyAdmin/scripts/setup.php,4
326,get, http://3.69.174.211:80/phpmyadmin2/scripts/setup.php,4
327,get, http://3.69.174.211:80/phpmy/scripts/setup.php,4
328,get,/Telerik.Web.UI.WebResource.axd,4
329,get, http://3.69.174.211:80/sql/scripts/setup.php,4
330,get,/solr/,4
331,get, http://3.69.174.211:80/phpadmin/scripts/setup.php,4
332,get,/template/index2/assets/css/index720.css,4
333,get,/cgi-bin/luci,4
334,get, http://3.69.174.211:80/phpMyadmin/scripts/setup.php,4
335,get, http://3.69.174.211:80/PHPMYADMIN/scripts/setup.php,4
336,get, http://3.69.174.211:80/myadmin/scripts/setup.php,4
337,get, http://3.69.174.211:80/phpMyAdmin2/scripts/setup.php,4
338,get, http://3.69.174.211:80/ysqladmin/scripts/setup.php,4
339,get,/blog/.env,4
340,get,/index.html,4
341,get, http://3.69.174.211:80/phpMyAdmin-2.11.11.3/scripts/setup.php,4
342,get, http://3.69.174.211:80/phpMyAdmin-2.10.3/scripts/setup.php,4
343,get,/pma2012/index.php,4
344,get,/storage/.env,4
345,get, http://3.69.174.211:80/phpMyAdmin-2.11.10.1/scripts/setup.php,4
346,get, http://3.69.174.211:80/phpMyAdmin-2.10.1/scripts/setup.php,4
347,get,/cgi-bin/.env,4
348,get,/audio/.env,4
349,get,/app/config/.env,4
350,get, http://3.69.174.211:80/phpMyAdmin-2.11.11/scripts/setup.php,4
351,get, http://3.69.174.211:80/phpMyAdmin-2.11.1-rc1/scripts/setup.php,4
352,get, http://3.69.174.211:80/phpMyAdmin-2.10.0.2/scripts/setup.php,4
353,get,/PMA2018/index.php,4
354,get,/site/wp-includes/wlwmanifest.xml,4
355,get,/media/wp-includes/wlwmanifest.xml,3
356,get,/.env.backup,3
357,get,//frontend/web/debug/default/view,3
358,get,//web/debug/default/view,3
359,get, http://dyn.epicgifs.net/test6956.php,3
360,get,/f5F01DP05Te/Cvg37dv4ny76.php,3
361,post,/10,3
362,get,/services/stickers.php,3
363,get,//sapi/debug/default/view,3
364,post,/result%3Fhl%3Den%26meta%3Dvvnwppnloxhwtqccppbyhqmrwyswqen,3
365,get,/.env.production.local,3
366,get,/vendor/phpunit/phpunit/phpunit.xml,3
367,connect, 170.187.200.180:600,3
368,get,/vendor/laravel/.env,3
369,get,/wp-content/,3
370,get,/lib/.env,3
371,get,/app/etc/local.xml,3
372,connect, google.com:443,3
373,get,/ec2-3-69-174-211.eu-central-1.compute.amazonaws.com/.env,3
374,get,/sites/all/libraries/mailchimp/.env,3
375,get,/newsite/.env,3
